"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"727","801","true","chrome","141.0.0","false","Mac OS","true","60.3","true","true","browser-check","0","1009","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","20907","0.0-1.0","19882","{""P0_Q0"":""903754905"",""P0_Q1"":""21"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Black or African American"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","51317","0.0-2.0","30409","","","[{""page_index"":0,""viewing_time"":4342},{""page_index"":1,""viewing_time"":10750},{""page_index"":2,""viewing_time"":9250},{""page_index"":3,""viewing_time"":6067}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","54235","0.0-3.0","1914","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","132664","0.0-4.0","78426","","","","","85.6","53.98","271.8246365866786","3.1733945945700612","540.16","9.060821219555953","30","1.5819022344682983","49","30.766666666666666","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","205882","0.0-5.0","73217","","","[{""page_index"":0,""viewing_time"":7534},{""page_index"":1,""viewing_time"":15117},{""page_index"":2,""viewing_time"":7616},{""page_index"":3,""viewing_time"":4533},{""page_index"":4,""viewing_time"":11000},{""page_index"":5,""viewing_time"":25367},{""page_index"":6,""viewing_time"":2050}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","209116","0.0-6.0","3231","0","","","","","","","","","","","","","","start_practice","Mon Oct 27 2025 10:26:08 GMT-0400 (Eastern Daylight Time)","27829","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","209118","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","209422","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","209725","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","211183","0.0-10.0","1455","cat","","","","","","","","","","","","","","perceptual","","","0","0","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","212632","0.0-11.0","1446","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","213636","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Mon Oct 27 2025 10:26:15 GMT-0400 (Eastern Daylight Time)","27829","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","213637","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","213940","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","214243","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","216699","0.0-16.0","2454","house","","","","","","","","","","","","","","perceptual","","","0","1","","","","","32","bed","1","","0",""
"","","","","","","","","","","","canvas-button-response","17","217583","0.0-17.0","881","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","18","218586","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Mon Oct 27 2025 10:26:20 GMT-0400 (Eastern Daylight Time)","27829","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","218587","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","218890","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","219193","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","227516","0.0-22.0","8321","car","","","","","","","","","","","","","","perceptual","","","0","2","","","","","82","elephant","1","","0",""
