"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1508","807","true","chrome","141.0.0","false","Mac OS","true","121.75","true","true","browser-check","0","499","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","17475","0.0-1.0","16942","{""P0_Q0"":""903977010"",""P0_Q1"":""19"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Left-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","50280","0.0-2.0","32804","","","[{""page_index"":0,""viewing_time"":2672},{""page_index"":1,""viewing_time"":6507},{""page_index"":2,""viewing_time"":17792},{""page_index"":3,""viewing_time"":5833}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","52890","0.0-3.0","1607","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","111009","0.0-4.0","58116","","","","","85.6","53.98","274.2005143449364","3.2011616651118753","535.46","9.140017144831212","30","1.5463136566790687","50.4","31.5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","167797","0.0-5.0","56786","","","[{""page_index"":0,""viewing_time"":5853},{""page_index"":1,""viewing_time"":3583},{""page_index"":2,""viewing_time"":6317},{""page_index"":3,""viewing_time"":3600},{""page_index"":4,""viewing_time"":7850},{""page_index"":5,""viewing_time"":26417},{""page_index"":6,""viewing_time"":3167}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","169214","0.0-6.0","1414","0","","","","","","","","","","","","","","start_practice","Fri Oct 17 2025 12:21:38 GMT-0400 (Eastern Daylight Time)","26913","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","169216","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","169521","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","169825","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","172046","0.0-10.0","2219","flower","","","","","","","","","","","","","","perceptual","","","0","0","","","","","52","flower","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","173564","0.0-11.0","1516","7","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","174568","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Fri Oct 17 2025 12:21:43 GMT-0400 (Eastern Daylight Time)","26913","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","174570","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","174873","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","175176","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","176631","0.0-16.0","1452","house","","","","","","","","","","","","","","perceptual","","","0","1","","","","","2","house","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","177248","0.0-17.0","614","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","178251","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Fri Oct 17 2025 12:21:47 GMT-0400 (Eastern Daylight Time)","26913","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","178252","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","178555","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","178857","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","180846","0.0-22.0","1986","knife","","","","","","","","","","","","","","perceptual","","","0","2","","","","","92","knife","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","181587","0.0-23.0","739","9","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","24","182590","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Fri Oct 17 2025 12:21:51 GMT-0400 (Eastern Daylight Time)","26913","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","182591","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","182893","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","183196","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","184129","0.0-28.0","931","cat","","","","","","","","","","","","","","perceptual","","","0","3","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","29","184831","0.0-29.0","699","10","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","30","185833","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Fri Oct 17 2025 12:21:55 GMT-0400 (Eastern Daylight Time)","26913","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","185834","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","186137","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","186440","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","34","187396","0.0-34.0","954","bed","","","","","","","","","","","","","","perceptual","","","0","4","","","","","32","bed","1","","1",""
"","","","","","","","","","","","canvas-button-response","35","187998","0.0-35.0","599","10","","","","","","","","","","","","","","confidence","","","0","4","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","36","189001","0.0-36.0","null","null","","","","","","","","","","","","","","feedback","Fri Oct 17 2025 12:21:58 GMT-0400 (Eastern Daylight Time)","26913","0","4","","","","","","","","","",""
"","","","","","","","","","","","preload","37","189002","0.0-37.0","","","","","true","","","","","","","","","","","preload","","","0","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","38","189306","0.0-38.0","null","null","","","","","","","","","","","","","","fixation","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","39","189609","0.0-39.0","null","null","","","","","","","","","","","","","","stimulus","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","40","194498","0.0-40.0","4885","elephant","","","","","","","","","","","","","","perceptual","","","0","5","","","","","82","elephant","1","","1",""
"","","","","","","","","","","","canvas-button-response","41","195770","0.0-41.0","1270","6","","","","","","","","","","","","","","confidence","","","0","5","","","","","","","","","","6"
"","","","","","","","","","","","html-keyboard-response","42","196774","0.0-42.0","null","null","","","","","","","","","","","","","","feedback","Fri Oct 17 2025 12:22:06 GMT-0400 (Eastern Daylight Time)","26913","0","5","","","","","","","","","",""
"","","","","","","","","","","","preload","43","196775","0.0-43.0","","","","","true","","","","","","","","","","","preload","","","0","6","false","[]","[]","[]","","","","","",""
