"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1536","742","true","chrome","141.0.0","false","Windows 10","true","143.75","true","true","browser-check","0","423","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","28761","0.0-1.0","28309","{""P0_Q0"":""904125953"",""P0_Q1"":""19"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","43123","0.0-2.0","14362","","","[{""page_index"":0,""viewing_time"":2054},{""page_index"":1,""viewing_time"":1304},{""page_index"":2,""viewing_time"":713},{""page_index"":3,""viewing_time"":10291}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","46400","0.0-3.0","2271","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","97597","0.0-4.0","51196","","","","","85.6","53.98","239.19309844140489","2.796719304853349","614.14","7.973103281380163","30","1.630481826362303","51.2","28.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","185802","0.0-5.0","88204","","","[{""page_index"":0,""viewing_time"":5506},{""page_index"":1,""viewing_time"":4400},{""page_index"":2,""viewing_time"":17336},{""page_index"":3,""viewing_time"":6490},{""page_index"":4,""viewing_time"":4090},{""page_index"":5,""viewing_time"":38567},{""page_index"":6,""viewing_time"":5063},{""page_index"":5,""viewing_time"":6075},{""page_index"":6,""viewing_time"":679}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","195606","0.0-6.0","9803","0","","","","","","","","","","","","","","start_practice","Tue Oct 21 2025 06:24:20 GMT+0800 (台北標準時間)","27791","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","195607","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","195916","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","196226","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
