"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1729","872","true","chrome","140.0.0","false","Mac OS","true","120.22","true","true","browser-check","0","504","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","22908","0.0-1.0","22373","{""P0_Q0"":""904103305"",""P0_Q1"":""18"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","96735","0.0-2.0","73827","","","[{""page_index"":0,""viewing_time"":12836},{""page_index"":1,""viewing_time"":23776},{""page_index"":2,""viewing_time"":8195},{""page_index"":3,""viewing_time"":29021}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","99415","0.0-3.0","1675","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","165295","0.0-4.0","65879","","","","","85.6","53.98","236.44911287312243","2.7604318601932927","621.29","7.881637095770747","30","1.7931976772842306","57.6","36.13333333333333","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","286041","0.0-5.0","120747","","","[{""page_index"":0,""viewing_time"":7684},{""page_index"":1,""viewing_time"":3320},{""page_index"":2,""viewing_time"":5508},{""page_index"":3,""viewing_time"":4493},{""page_index"":4,""viewing_time"":6237},{""page_index"":5,""viewing_time"":89369},{""page_index"":6,""viewing_time"":2297},{""page_index"":5,""viewing_time"":1147},{""page_index"":6,""viewing_time"":692}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","290697","0.0-6.0","4654","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 16:33:19 GMT-0400 (Eastern Daylight Time)","27227","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","290698","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","291002","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","291304","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","300613","0.0-10.0","9308","car","","","","","","","","","","","","","","perceptual","","","0","0","","","","","82","elephant","1","","0",""
"","","","","","","","","","","","canvas-button-response","11","302438","0.0-11.0","1824","0","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","0"
"","","","","","","","","","","","html-keyboard-response","12","303441","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:33:35 GMT-0400 (Eastern Daylight Time)","27227","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","303442","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","303744","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","304046","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","305350","0.0-16.0","1302","cat","","","","","","","","","","","","","","perceptual","","","0","1","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","306210","0.0-17.0","858","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","18","307211","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:33:39 GMT-0400 (Eastern Daylight Time)","27227","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","307212","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","307514","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","307816","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","311610","0.0-22.0","3793","phone","","","","","","","","","","","","","","perceptual","","","0","2","","","","","62","train","1","","0",""
"","","","","","","","","","","","canvas-button-response","23","312760","0.0-23.0","1148","0","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","24","313763","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:33:45 GMT-0400 (Eastern Daylight Time)","27227","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","313764","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","314065","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","314366","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","317410","0.0-28.0","3042","bed","","","","","","","","","","","","","","perceptual","","","0","3","","","","","42","bridge","1","","0",""
"","","","","","","","","","","","canvas-button-response","29","317980","0.0-29.0","568","0","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","30","318982","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:33:51 GMT-0400 (Eastern Daylight Time)","27227","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","318983","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","319286","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","319588","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
