"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1826","1606","true","chrome","141.0.0","false","Mac OS","true","120.55","true","true","browser-check","0","501","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","49362","0.0-1.0","48831","{""P0_Q0"":""903864698"",""P0_Q1"":""20"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","64012","0.0-2.0","14649","","","[{""page_index"":0,""viewing_time"":2617},{""page_index"":1,""viewing_time"":4589},{""page_index"":2,""viewing_time"":6170},{""page_index"":3,""viewing_time"":1272}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","67469","0.0-3.0","2453","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","109684","0.0-4.0","42212","","","","","85.6","53.98","138.96487623217203","1.6218096534017215","1058.22","4.632162541072401","30","3.0151503844753287","50.4","31.5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","140932","0.0-5.0","31246","","","[{""page_index"":0,""viewing_time"":6350},{""page_index"":1,""viewing_time"":3116},{""page_index"":2,""viewing_time"":4334},{""page_index"":3,""viewing_time"":4435},{""page_index"":4,""viewing_time"":3266},{""page_index"":5,""viewing_time"":7378},{""page_index"":6,""viewing_time"":2367}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","145872","0.0-6.0","4936","0","","","","","","","","","","","","","","start_practice","Tue Oct 21 2025 14:35:07 GMT-0400 (Eastern Daylight Time)","23364","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","145873","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","146178","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","146482","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
