"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1710","947","true","chrome","138.0.0","false","Mac OS","true","60.06","true","true","browser-check","0","1004","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","19222","0.0-1.0","18183","{""P0_Q0"":""903960151"",""P0_Q1"":""19"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","22245","0.0-2.0","3022","","","[{""page_index"":0,""viewing_time"":1084},{""page_index"":1,""viewing_time"":703},{""page_index"":2,""viewing_time"":606},{""page_index"":3,""viewing_time"":629}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","24085","0.0-3.0","836","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","100266","0.0-4.0","76170","","","","","85.6","53.98","324.4749572928549","3.7879554166107843","452.11","10.815831909761831","29.999999999999996","1.3806920686198212","57.00000000000001","35.63333333333334","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","131577","0.0-5.0","31308","","","[{""page_index"":0,""viewing_time"":5448},{""page_index"":1,""viewing_time"":2113},{""page_index"":2,""viewing_time"":6364},{""page_index"":3,""viewing_time"":3285},{""page_index"":4,""viewing_time"":3262},{""page_index"":5,""viewing_time"":8341},{""page_index"":6,""viewing_time"":2496}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","134242","0.0-6.0","2661","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 16:07:55 GMT-0400 (Eastern Daylight Time)","25504","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","134244","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","134549","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","134851","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","137735","0.0-10.0","2881","train","","","","","","","","","","","","","","perceptual","","","0","0","","","","","62","train","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","139011","0.0-11.0","1274","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","140015","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:02 GMT-0400 (Eastern Daylight Time)","25504","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","140016","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","140318","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","140622","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","143429","0.0-16.0","2804","flower","","","","","","","","","","","","","","perceptual","","","0","1","","","","","52","flower","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","144401","0.0-17.0","970","7","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","145404","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:07 GMT-0400 (Eastern Daylight Time)","25504","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","145404","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","145707","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","146010","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","147725","0.0-22.0","1713","phone","","","","","","","","","","","","","","perceptual","","","0","2","","","","","22","phone","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","148443","0.0-23.0","717","10","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","24","149446","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:11 GMT-0400 (Eastern Daylight Time)","25504","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","149447","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","149750","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","150053","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","151251","0.0-28.0","1195","house","","","","","","","","","","","","","","perceptual","","","0","3","","","","","2","house","1","","1",""
"","","","","","","","","","","","canvas-button-response","29","152254","0.0-29.0","1002","10","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","30","153257","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:15 GMT-0400 (Eastern Daylight Time)","25504","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","153257","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","153560","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","153863","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","34","155326","0.0-34.0","1461","bed","","","","","","","","","","","","","","perceptual","","","0","4","","","","","32","bed","1","","1",""
"","","","","","","","","","","","canvas-button-response","35","156124","0.0-35.0","795","10","","","","","","","","","","","","","","confidence","","","0","4","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","36","157127","0.0-36.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:19 GMT-0400 (Eastern Daylight Time)","25504","0","4","","","","","","","","","",""
"","","","","","","","","","","","preload","37","157128","0.0-37.0","","","","","true","","","","","","","","","","","preload","","","0","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","38","157431","0.0-38.0","null","null","","","","","","","","","","","","","","fixation","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","39","157733","0.0-39.0","null","null","","","","","","","","","","","","","","stimulus","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","40","161163","0.0-40.0","3427","knife","","","","","","","","","","","","","","perceptual","","","0","5","","","","","92","knife","1","","1",""
"","","","","","","","","","","","canvas-button-response","41","162025","0.0-41.0","859","10","","","","","","","","","","","","","","confidence","","","0","5","","","","","","","","","","6"
"","","","","","","","","","","","html-keyboard-response","42","163028","0.0-42.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:25 GMT-0400 (Eastern Daylight Time)","25504","0","5","","","","","","","","","",""
"","","","","","","","","","","","preload","43","163029","0.0-43.0","","","","","true","","","","","","","","","","","preload","","","0","6","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","44","163332","0.0-44.0","null","null","","","","","","","","","","","","","","fixation","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","45","163635","0.0-45.0","null","null","","","","","","","","","","","","","","stimulus","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","46","175784","0.0-46.0","12147","car","","","","","","","","","","","","","","perceptual","","","0","6","","","","","82","elephant","1","","0",""
"","","","","","","","","","","","canvas-button-response","47","177132","0.0-47.0","1346","1","","","","","","","","","","","","","","confidence","","","0","6","","","","","","","","","","6"
"","","","","","","","","","","","html-keyboard-response","48","178135","0.0-48.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:40 GMT-0400 (Eastern Daylight Time)","25504","0","6","","","","","","","","","",""
"","","","","","","","","","","","preload","49","178136","0.0-49.0","","","","","true","","","","","","","","","","","preload","","","0","7","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","50","178439","0.0-50.0","null","null","","","","","","","","","","","","","","fixation","","","0","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","51","178741","0.0-51.0","null","null","","","","","","","","","","","","","","stimulus","","","0","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","52","182721","0.0-52.0","3977","house","","","","","","","","","","","","","","perceptual","","","0","7","","","","","12","car","1","","0",""
"","","","","","","","","","","","canvas-button-response","53","183645","0.0-53.0","922","0","","","","","","","","","","","","","","confidence","","","0","7","","","","","","","","","","6"
"","","","","","","","","","","","html-keyboard-response","54","184649","0.0-54.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:47 GMT-0400 (Eastern Daylight Time)","25504","0","7","","","","","","","","","",""
"","","","","","","","","","","","preload","55","184650","0.0-55.0","","","","","true","","","","","","","","","","","preload","","","0","8","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","56","184952","0.0-56.0","null","null","","","","","","","","","","","","","","fixation","","","0","8","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","57","185255","0.0-57.0","null","null","","","","","","","","","","","","","","stimulus","","","0","8","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","58","186141","0.0-58.0","884","cat","","","","","","","","","","","","","","perceptual","","","0","8","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","59","186916","0.0-59.0","772","10","","","","","","","","","","","","","","confidence","","","0","8","","","","","","","","","","7"
"","","","","","","","","","","","html-keyboard-response","60","187918","0.0-60.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:50 GMT-0400 (Eastern Daylight Time)","25504","0","8","","","","","","","","","",""
"","","","","","","","","","","","preload","61","187919","0.0-61.0","","","","","true","","","","","","","","","","","preload","","","0","9","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","62","188222","0.0-62.0","null","null","","","","","","","","","","","","","","fixation","","","0","9","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","63","188526","0.0-63.0","null","null","","","","","","","","","","","","","","stimulus","","","0","9","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","64","191676","0.0-64.0","3148","car","","","","","","","","","","","","","","perceptual","","","0","9","","","","","42","bridge","1","","0",""
"","","","","","","","","","","","canvas-button-response","65","193063","0.0-65.0","1385","1","","","","","","","","","","","","","","confidence","","","0","9","","","","","","","","","","7"
"","","","","","","","","","","","html-keyboard-response","66","194066","0.0-66.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:08:56 GMT-0400 (Eastern Daylight Time)","25504","0","9","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","199459","0.0-67.0","5391","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 16:08:57 GMT-0400 (Eastern Daylight Time)","25504","0","9","","","","","","","","","",""
"","","","","","","","","","","","preload","68","199460","0.0-68.0","","","","","true","","","","","","","","","","","preload","","","1","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","69","199763","0.0-69.0","null","null","","","","","","","","","","","","","","fixation","","","1","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","70","200066","0.0-70.0","null","null","","","","","","","","","","","","","","stimulus","","","1","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","71","203136","0.0-71.0","3068","cat","","","","","","","","","","","","","","perceptual","","","1","0","","","","","77","cat","10","","1",""
"","","","","","","","","","","","canvas-button-response","72","204077","0.0-72.0","939","1","","","","","","","","","","","","","","confidence","","","1","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","73","205080","0.0-73.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:07 GMT-0400 (Eastern Daylight Time)","25504","1","0","","","","","","","","","",""
"","","","","","","","","","","","preload","74","205081","0.0-74.0","","","","","true","","","","","","","","","","","preload","","","1","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","75","205382","0.0-75.0","null","null","","","","","","","","","","","","","","fixation","","","1","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","76","205685","0.0-76.0","null","null","","","","","","","","","","","","","","stimulus","","","1","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","77","207028","0.0-77.0","1340","cat","","","","","","","","","","","","","","perceptual","","","1","1","","","","","74","cat","6","","1",""
"","","","","","","","","","","","canvas-button-response","78","207610","0.0-78.0","580","5","","","","","","","","","","","","","","confidence","","","1","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","79","208613","0.0-79.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:11 GMT-0400 (Eastern Daylight Time)","25504","1","1","","","","","","","","","",""
"","","","","","","","","","","","preload","80","208614","0.0-80.0","","","","","true","","","","","","","","","","","preload","","","1","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","81","208917","0.0-81.0","null","null","","","","","","","","","","","","","","fixation","","","1","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","82","209219","0.0-82.0","null","null","","","","","","","","","","","","","","stimulus","","","1","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","83","211996","0.0-83.0","2774","train","","","","","","","","","","","","","","perceptual","","","1","2","","","","","14","car","6","","0",""
"","","","","","","","","","","","canvas-button-response","84","212650","0.0-84.0","652","5","","","","","","","","","","","","","","confidence","","","1","2","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","85","213653","0.0-85.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:16 GMT-0400 (Eastern Daylight Time)","25504","1","2","","","","","","","","","",""
"","","","","","","","","","","","preload","86","213654","0.0-86.0","","","","","true","","","","","","","","","","","preload","","","1","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","87","213957","0.0-87.0","null","null","","","","","","","","","","","","","","fixation","","","1","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","88","214260","0.0-88.0","null","null","","","","","","","","","","","","","","stimulus","","","1","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","89","216119","0.0-89.0","1857","elephant","","","","","","","","","","","","","","perceptual","","","1","3","","","","","27","phone","10","","0",""
"","","","","","","","","","","","canvas-button-response","90","216653","0.0-90.0","533","5","","","","","","","","","","","","","","confidence","","","1","3","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","91","217657","0.0-91.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:20 GMT-0400 (Eastern Daylight Time)","25504","1","3","","","","","","","","","",""
"","","","","","","","","","","","preload","92","217658","0.0-92.0","","","","","true","","","","","","","","","","","preload","","","1","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","93","217961","0.0-93.0","null","null","","","","","","","","","","","","","","fixation","","","1","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","94","218263","0.0-94.0","null","null","","","","","","","","","","","","","","stimulus","","","1","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","95","219591","0.0-95.0","1326","bridge","","","","","","","","","","","","","","perceptual","","","1","4","","","","","17","car","10","","0",""
"","","","","","","","","","","","canvas-button-response","96","220605","0.0-96.0","1011","4","","","","","","","","","","","","","","confidence","","","1","4","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","97","221607","0.0-97.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:24 GMT-0400 (Eastern Daylight Time)","25504","1","4","","","","","","","","","",""
"","","","","","","","","","","","preload","98","221607","0.0-98.0","","","","","true","","","","","","","","","","","preload","","","1","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","99","221909","0.0-99.0","null","null","","","","","","","","","","","","","","fixation","","","1","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","100","222211","0.0-100.0","null","null","","","","","","","","","","","","","","stimulus","","","1","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","101","223500","0.0-101.0","1287","bed","","","","","","","","","","","","","","perceptual","","","1","5","","","","","37","bed","10","","1",""
"","","","","","","","","","","","canvas-button-response","102","224106","0.0-102.0","604","2","","","","","","","","","","","","","","confidence","","","1","5","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","103","225108","0.0-103.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:27 GMT-0400 (Eastern Daylight Time)","25504","1","5","","","","","","","","","",""
"","","","","","","","","","","","preload","104","225109","0.0-104.0","","","","","true","","","","","","","","","","","preload","","","1","6","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","105","225412","0.0-105.0","null","null","","","","","","","","","","","","","","fixation","","","1","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","106","225713","0.0-106.0","null","null","","","","","","","","","","","","","","stimulus","","","1","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","107","226450","0.0-107.0","734","knife","","","","","","","","","","","","","","perceptual","","","1","6","","","","","7","house","10","","0",""
"","","","","","","","","","","","canvas-button-response","108","226985","0.0-108.0","533","4","","","","","","","","","","","","","","confidence","","","1","6","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","109","227987","0.0-109.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:30 GMT-0400 (Eastern Daylight Time)","25504","1","6","","","","","","","","","",""
"","","","","","","","","","","","preload","110","227988","0.0-110.0","","","","","true","","","","","","","","","","","preload","","","1","7","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","111","228291","0.0-111.0","null","null","","","","","","","","","","","","","","fixation","","","1","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","112","228594","0.0-112.0","null","null","","","","","","","","","","","","","","stimulus","","","1","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","113","229194","0.0-113.0","598","cat","","","","","","","","","","","","","","perceptual","","","1","7","","","","","67","train","10","","0",""
"","","","","","","","","","","","canvas-button-response","114","229704","0.0-114.0","507","7","","","","","","","","","","","","","","confidence","","","1","7","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","115","230707","0.0-115.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:33 GMT-0400 (Eastern Daylight Time)","25504","1","7","","","","","","","","","",""
"","","","","","","","","","","","preload","116","230708","0.0-116.0","","","","","true","","","","","","","","","","","preload","","","1","8","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","117","231011","0.0-117.0","null","null","","","","","","","","","","","","","","fixation","","","1","8","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","118","231313","0.0-118.0","null","null","","","","","","","","","","","","","","stimulus","","","1","8","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","119","232200","0.0-119.0","884","house","","","","","","","","","","","","","","perceptual","","","1","8","","","","","4","house","6","","1",""
"","","","","","","","","","","","canvas-button-response","120","233261","0.0-120.0","1059","10","","","","","","","","","","","","","","confidence","","","1","8","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","121","234265","0.0-121.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:36 GMT-0400 (Eastern Daylight Time)","25504","1","8","","","","","","","","","",""
"","","","","","","","","","","","preload","122","234266","0.0-122.0","","","","","true","","","","","","","","","","","preload","","","1","9","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","123","234568","0.0-123.0","null","null","","","","","","","","","","","","","","fixation","","","1","9","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","124","234871","0.0-124.0","null","null","","","","","","","","","","","","","","stimulus","","","1","9","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","125","235646","0.0-125.0","772","phone","","","","","","","","","","","","","","perceptual","","","1","9","","","","","24","phone","6","","1",""
"","","","","","","","","","","","canvas-button-response","126","236203","0.0-126.0","555","10","","","","","","","","","","","","","","confidence","","","1","9","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","127","237205","0.0-127.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 16:09:39 GMT-0400 (Eastern Daylight Time)","25504","1","9","","","","","","","","","",""
"","","","","","","","","","","","preload","128","237206","0.0-128.0","","","","","true","","","","","","","","","","","preload","","","1","10","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","129","237509","0.0-129.0","null","null","","","","","","","","","","","","","","fixation","","","1","10","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","130","237811","0.0-130.0","null","null","","","","","","","","","","","","","","stimulus","","","1","10","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","131","240239","0.0-131.0","2425","phone","","","","","","","","","","","","","","perceptual","","","1","10","","","","","94","knife","6","","0",""
