"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1605","870","true","chrome","140.0.0","false","Windows 10","true","83.18","true","true","browser-check","0","743","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","44929","0.0-1.0","44139","{""P0_Q0"":""904089708"",""P0_Q1"":""18"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","70145","0.0-2.0","25215","","","[{""page_index"":0,""viewing_time"":3408},{""page_index"":1,""viewing_time"":9011},{""page_index"":2,""viewing_time"":9182},{""page_index"":3,""viewing_time"":3613}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","72972","0.0-3.0","1812","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","137028","0.0-4.0","64053","","","","","85.6","53.98","190.96048764628515","2.2292561275229374","769.71","6.365349588209505","30","2.408875289698961","54.86666666666667","34.3","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","244232","0.0-5.0","107203","","","[{""page_index"":0,""viewing_time"":8266},{""page_index"":1,""viewing_time"":14262},{""page_index"":2,""viewing_time"":10993},{""page_index"":3,""viewing_time"":3775},{""page_index"":4,""viewing_time"":7450},{""page_index"":5,""viewing_time"":60309},{""page_index"":6,""viewing_time"":2149}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","261657","0.0-6.0","17422","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 15:11:16 GMT-0400 (Eastern Daylight Time)","27691","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","261658","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","261961","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","262269","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","264107","0.0-10.0","1835","house","","","","","","","","","","","","","","perceptual","","","0","0","","","","","2","house","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","265371","0.0-11.0","1262","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","266384","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 15:11:37 GMT-0400 (Eastern Daylight Time)","27691","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","266385","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","266699","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","267011","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","268203","0.0-16.0","1190","bridge","","","","","","","","","","","","","","perceptual","","","0","1","","","","","42","bridge","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","269526","0.0-17.0","1321","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","270541","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 15:11:41 GMT-0400 (Eastern Daylight Time)","27691","0","1","","","","","","","","","",""
