"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1366","649","true","chrome","114.0.0","false","Chrome OS","true","61.03","true","true","browser-check","0","1009","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","245295","0.0-1.0","244095","{""P0_Q0"":""904166508"",""P0_Q1"":""18"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","252781","0.0-2.0","7478","","","[{""page_index"":0,""viewing_time"":1411},{""page_index"":1,""viewing_time"":2985},{""page_index"":2,""viewing_time"":1920},{""page_index"":3,""viewing_time"":1162}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","254804","0.0-3.0","1012","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","320328","0.0-4.0","65517","","","","","85.6","53.98","206.73000551836563","2.4140946898480156","710.87","6.891000183945521","30","2.970057483723392","45.53333333333333","25.6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","366857","0.0-5.0","46528","","","[{""page_index"":0,""viewing_time"":2787},{""page_index"":1,""viewing_time"":14236},{""page_index"":2,""viewing_time"":509},{""page_index"":3,""viewing_time"":230},{""page_index"":4,""viewing_time"":13234},{""page_index"":5,""viewing_time"":14467},{""page_index"":6,""viewing_time"":1066}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","370090","0.0-6.0","3225","0","","","","","","","","","","","","","","start_practice","Sat Oct 18 2025 19:28:53 GMT-0400 (Eastern Daylight Time)","27797","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","370094","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","370438","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","370748","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","374515","0.0-10.0","3761","bridge","","","","","","","","","","","","","","perceptual","","","0","0","","","","","42","bridge","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","376133","0.0-11.0","1611","5","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","377138","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 19:29:02 GMT-0400 (Eastern Daylight Time)","27797","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","377139","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","377445","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","377748","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","380049","0.0-16.0","2294","phone","","","","","","","","","","","","","","perceptual","","","0","1","","","","","22","phone","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","382686","0.0-17.0","2631","8","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","383692","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 19:29:09 GMT-0400 (Eastern Daylight Time)","27797","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","383694","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","384004","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","384309","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","387897","0.0-22.0","3582","cat","","","","","","","","","","","","","","perceptual","","","0","2","","","","","82","elephant","1","","0",""
"","","","","","","","","","","","canvas-button-response","23","389093","0.0-23.0","1188","6","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","2"
