"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1512","809","true","chrome","135.0.0","false","Mac OS","true","119.9","true","true","browser-check","0","510","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","95026","0.0-1.0","94477","{""P0_Q0"":""903753100"",""P0_Q1"":""21"",""P1_Q0"":""Male"",""P1_Q1"":""Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","153692","0.0-2.0","58665","","","[{""page_index"":0,""viewing_time"":4972},{""page_index"":1,""viewing_time"":10625},{""page_index"":2,""viewing_time"":27096},{""page_index"":3,""viewing_time"":15972}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","157438","0.0-3.0","2743","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","264089","0.0-4.0","106649","","","","","85.6","53.98","280.88622188531116","3.2835079178722717","522.66","9.362874062843707","30","1.5379892865531517","50.4","31.5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","341908","0.0-5.0","77818","","","[{""page_index"":0,""viewing_time"":19659},{""page_index"":1,""viewing_time"":4830},{""page_index"":2,""viewing_time"":14235},{""page_index"":3,""viewing_time"":6377},{""page_index"":4,""viewing_time"":13165},{""page_index"":5,""viewing_time"":16068},{""page_index"":6,""viewing_time"":3484}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","349004","0.0-6.0","7094","0","","","","","","","","","","","","","","start_practice","Mon Oct 13 2025 13:05:56 GMT-0400 (Eastern Daylight Time)","27623","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","349005","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","349308","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","349611","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","356692","0.0-10.0","7078","house","","","","","","","","","","","","","","perceptual","","","0","0","","","","","82","elephant","1","","0",""
"","","","","","","","","","","","canvas-button-response","11","358317","0.0-11.0","1623","3","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","0"
"","","","","","","","","","","","html-keyboard-response","12","359320","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Mon Oct 13 2025 13:06:12 GMT-0400 (Eastern Daylight Time)","27623","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","359322","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","359625","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","359930","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
