"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1470","798","true","chrome","140.0.0","false","Mac OS","true","60","true","true","browser-check","0","1016","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","22540","0.0-1.0","21485","{""P0_Q0"":""903765166"",""P0_Q1"":""20"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","120901","0.0-2.0","98359","","","[{""page_index"":0,""viewing_time"":8146},{""page_index"":1,""viewing_time"":1051},{""page_index"":0,""viewing_time"":33594},{""page_index"":1,""viewing_time"":28923},{""page_index"":2,""viewing_time"":19600},{""page_index"":3,""viewing_time"":7044}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","123475","0.0-3.0","1568","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","224796","0.0-4.0","101315","","","","","85.6","53.98","207.92634002640216","2.427396951225658","706.77","6.930878000880073","29.999999999999996","2.0968964294982415","49.00000000000001","30.66666666666667","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","334363","0.0-5.0","109564","","","[{""page_index"":0,""viewing_time"":8696},{""page_index"":1,""viewing_time"":5087},{""page_index"":2,""viewing_time"":924},{""page_index"":1,""viewing_time"":457},{""page_index"":0,""viewing_time"":6033},{""page_index"":1,""viewing_time"":2561},{""page_index"":2,""viewing_time"":2272},{""page_index"":1,""viewing_time"":225},{""page_index"":0,""viewing_time"":8457},{""page_index"":1,""viewing_time"":2008},{""page_index"":2,""viewing_time"":6967},{""page_index"":3,""viewing_time"":13916},{""page_index"":4,""viewing_time"":21367},{""page_index"":5,""viewing_time"":26353},{""page_index"":6,""viewing_time"":4245}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","342303","0.0-6.0","7932","0","","","","","","","","","","","","","","start_practice","Mon Oct 13 2025 16:57:05 GMT-0400 (Eastern Daylight Time)","27293","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","342305","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","342612","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","342916","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","345988","0.0-10.0","3068","car","","","","","","","","","","","","","","perceptual","","","0","0","","","","","12","car","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","347535","0.0-11.0","1544","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","348538","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Mon Oct 13 2025 16:57:18 GMT-0400 (Eastern Daylight Time)","27293","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","348539","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","348842","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","349144","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","350207","0.0-16.0","1061","bridge","","","","","","","","","","","","","","perceptual","","","0","1","","","","","42","bridge","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","351145","0.0-17.0","936","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","352146","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Mon Oct 13 2025 16:57:22 GMT-0400 (Eastern Daylight Time)","27293","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","352147","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","352452","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","352754","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","355419","0.0-22.0","2663","house","","","","","","","","","","","","","","perceptual","","","0","2","","","","","52","flower","1","","0",""
"","","","","","","","","","","","canvas-button-response","23","356904","0.0-23.0","1482","6","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","24","357908","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Mon Oct 13 2025 16:57:27 GMT-0400 (Eastern Daylight Time)","27293","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","357909","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
