"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1470","735","true","chrome","140.0.0","false","Mac OS","true","61.05","true","true","browser-check","0","989","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","28383","0.0-1.0","27354","{""P0_Q0"":""903828974"",""P0_Q1"":""22"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","39789","0.0-2.0","11404","","","[{""page_index"":0,""viewing_time"":4150},{""page_index"":1,""viewing_time"":3173},{""page_index"":2,""viewing_time"":2666},{""page_index"":3,""viewing_time"":1416}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","79437","0.0-3.0","38646","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","109200","0.0-4.0","29759","","","","","85.6","53.98","247.00212321858854","2.8878357689735474","594.66","8.233404107286285","30","1.6275163741983043","49","30.666666666666668","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","148768","0.0-5.0","39566","","","[{""page_index"":0,""viewing_time"":1528},{""page_index"":1,""viewing_time"":3722},{""page_index"":2,""viewing_time"":5036},{""page_index"":3,""viewing_time"":1661},{""page_index"":4,""viewing_time"":8000},{""page_index"":5,""viewing_time"":17930},{""page_index"":6,""viewing_time"":1688}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","150059","0.0-6.0","1286","0","","","","","","","","","","","","","","start_practice","Thu Oct 16 2025 13:20:27 GMT-0400 (Eastern Daylight Time)","20321","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","150061","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","150365","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","150669","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
