"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1470","832","true","chrome","140.0.0","false","Mac OS","true","60.19","true","true","browser-check","0","1002","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","26730","0.0-1.0","25687","{""P0_Q0"":""903921520"",""P0_Q1"":""20"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","80646","0.0-2.0","53916","","","[{""page_index"":0,""viewing_time"":8966},{""page_index"":1,""viewing_time"":24548},{""page_index"":2,""viewing_time"":16834},{""page_index"":3,""viewing_time"":3567}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","83282","0.0-3.0","1632","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","152451","0.0-4.0","69167","","","","","85.6","53.98","306.664455594495","3.582666476416456","478.52","10.2221485198165","30","1.3565315197470433","49","30.666666666666668","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","257116","0.0-5.0","104665","","","[{""page_index"":0,""viewing_time"":11575},{""page_index"":1,""viewing_time"":6384},{""page_index"":2,""viewing_time"":11966},{""page_index"":3,""viewing_time"":5824},{""page_index"":4,""viewing_time"":15976},{""page_index"":5,""viewing_time"":48749},{""page_index"":6,""viewing_time"":4191}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","275177","0.0-6.0","18057","0","","","","","","","","","","","","","","start_practice","Sun Oct 12 2025 14:32:09 GMT-0400 (Eastern Daylight Time)","27585","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","275179","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","275486","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","275790","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","281659","0.0-10.0","5865","flower","","","","","","","","","","","","","","perceptual","","","0","0","","","","","52","flower","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","283193","0.0-11.0","1531","5","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","284197","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Sun Oct 12 2025 14:32:35 GMT-0400 (Eastern Daylight Time)","27585","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","284198","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","284501","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","284804","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","285842","0.0-16.0","1035","car","","","","","","","","","","","","","","perceptual","","","0","1","","","","","12","car","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","286808","0.0-17.0","963","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","287812","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Sun Oct 12 2025 14:32:38 GMT-0400 (Eastern Daylight Time)","27585","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","287813","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
