"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1470","831","true","chrome","140.0.0","false","Mac OS","true","60.2","true","true","browser-check","0","998","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","30608","0.0-1.0","29605","{""P0_Q0"":""904185048"",""P0_Q1"":""21"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","109220","0.0-2.0","78618","","","[{""page_index"":0,""viewing_time"":13368},{""page_index"":1,""viewing_time"":24534},{""page_index"":2,""viewing_time"":30099},{""page_index"":3,""viewing_time"":10616}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","112105","0.0-3.0","1882","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","267690","0.0-4.0","155585","","","","","85.6","53.98","145.38319806526346","1.6972643122967963","1011.45","4.846106602175448","30","2.957700791579576","49","30.633333333333333","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","380464","0.0-5.0","112775","","","[{""page_index"":0,""viewing_time"":14757},{""page_index"":1,""viewing_time"":20134},{""page_index"":2,""viewing_time"":38050},{""page_index"":3,""viewing_time"":11701},{""page_index"":4,""viewing_time"":11500},{""page_index"":5,""viewing_time"":13032},{""page_index"":6,""viewing_time"":3601}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","384315","0.0-6.0","3847","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 20:56:35 GMT-0400 (북미 동부 하계 표준시)","27390","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","384316","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","384618","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","384921","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","390214","0.0-10.0","5289","house","","","","","","","","","","","","","","perceptual","","","0","0","","","","","52","flower","1","","0",""
"","","","","","","","","","","","canvas-button-response","11","392414","0.0-11.0","2197","4","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","0"
"","","","","","","","","","","","html-keyboard-response","12","393416","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:56:47 GMT-0400 (북미 동부 하계 표준시)","27390","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","393417","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","393719","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","394022","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","396281","0.0-16.0","2258","phone","","","","","","","","","","","","","","perceptual","","","0","1","","","","","22","phone","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","397348","0.0-17.0","1064","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","18","398350","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:56:52 GMT-0400 (북미 동부 하계 표준시)","27390","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","398351","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","398653","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","398955","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","400448","0.0-22.0","1491","bridge","","","","","","","","","","","","","","perceptual","","","0","2","","","","","42","bridge","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","401647","0.0-23.0","1196","10","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","24","402649","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:56:56 GMT-0400 (북미 동부 하계 표준시)","27390","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","402650","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","402953","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","403256","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","404297","0.0-28.0","1039","cat","","","","","","","","","","","","","","perceptual","","","0","3","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","29","405214","0.0-29.0","915","10","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","30","406216","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:00 GMT-0400 (북미 동부 하계 표준시)","27390","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","406217","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","406520","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","406822","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","34","408214","0.0-34.0","1389","bed","","","","","","","","","","","","","","perceptual","","","0","4","","","","","32","bed","1","","1",""
"","","","","","","","","","","","canvas-button-response","35","409364","0.0-35.0","1148","10","","","","","","","","","","","","","","confidence","","","0","4","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","36","410367","0.0-36.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:04 GMT-0400 (북미 동부 하계 표준시)","27390","0","4","","","","","","","","","",""
"","","","","","","","","","","","preload","37","410368","0.0-37.0","","","","","true","","","","","","","","","","","preload","","","0","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","38","410670","0.0-38.0","null","null","","","","","","","","","","","","","","fixation","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","39","410973","0.0-39.0","null","null","","","","","","","","","","","","","","stimulus","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","40","414531","0.0-40.0","3555","car","","","","","","","","","","","","","","perceptual","","","0","5","","","","","12","car","1","","1",""
"","","","","","","","","","","","canvas-button-response","41","415281","0.0-41.0","747","10","","","","","","","","","","","","","","confidence","","","0","5","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","42","416285","0.0-42.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:10 GMT-0400 (북미 동부 하계 표준시)","27390","0","5","","","","","","","","","",""
"","","","","","","","","","","","preload","43","416286","0.0-43.0","","","","","true","","","","","","","","","","","preload","","","0","6","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","44","416589","0.0-44.0","null","null","","","","","","","","","","","","","","fixation","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","45","416892","0.0-45.0","null","null","","","","","","","","","","","","","","stimulus","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","46","418248","0.0-46.0","1353","house","","","","","","","","","","","","","","perceptual","","","0","6","","","","","2","house","1","","1",""
"","","","","","","","","","","","canvas-button-response","47","419981","0.0-47.0","1730","9","","","","","","","","","","","","","","confidence","","","0","6","","","","","","","","","","6"
"","","","","","","","","","","","html-keyboard-response","48","420982","0.0-48.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:15 GMT-0400 (북미 동부 하계 표준시)","27390","0","6","","","","","","","","","",""
"","","","","","","","","","","","preload","49","420983","0.0-49.0","","","","","true","","","","","","","","","","","preload","","","0","7","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","50","421285","0.0-50.0","null","null","","","","","","","","","","","","","","fixation","","","0","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","51","421589","0.0-51.0","null","null","","","","","","","","","","","","","","stimulus","","","0","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","52","423012","0.0-52.0","1421","train","","","","","","","","","","","","","","perceptual","","","0","7","","","","","62","train","1","","1",""
"","","","","","","","","","","","canvas-button-response","53","424180","0.0-53.0","1166","10","","","","","","","","","","","","","","confidence","","","0","7","","","","","","","","","","7"
"","","","","","","","","","","","html-keyboard-response","54","425182","0.0-54.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:19 GMT-0400 (북미 동부 하계 표준시)","27390","0","7","","","","","","","","","",""
"","","","","","","","","","","","preload","55","425183","0.0-55.0","","","","","true","","","","","","","","","","","preload","","","0","8","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","56","425486","0.0-56.0","null","null","","","","","","","","","","","","","","fixation","","","0","8","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","57","425789","0.0-57.0","null","null","","","","","","","","","","","","","","stimulus","","","0","8","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","58","426980","0.0-58.0","1189","knife","","","","","","","","","","","","","","perceptual","","","0","8","","","","","92","knife","1","","1",""
"","","","","","","","","","","","canvas-button-response","59","428615","0.0-59.0","1631","6","","","","","","","","","","","","","","confidence","","","0","8","","","","","","","","","","8"
"","","","","","","","","","","","html-keyboard-response","60","429618","0.0-60.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:23 GMT-0400 (북미 동부 하계 표준시)","27390","0","8","","","","","","","","","",""
"","","","","","","","","","","","preload","61","429619","0.0-61.0","","","","","true","","","","","","","","","","","preload","","","0","9","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","62","429922","0.0-62.0","null","null","","","","","","","","","","","","","","fixation","","","0","9","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","63","430225","0.0-63.0","null","null","","","","","","","","","","","","","","stimulus","","","0","9","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","64","432580","0.0-64.0","2352","elephant","","","","","","","","","","","","","","perceptual","","","0","9","","","","","82","elephant","1","","1",""
"","","","","","","","","","","","canvas-button-response","65","433397","0.0-65.0","814","10","","","","","","","","","","","","","","confidence","","","0","9","","","","","","","","","","9"
"","","","","","","","","","","","html-keyboard-response","66","434400","0.0-66.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:28 GMT-0400 (북미 동부 하계 표준시)","27390","0","9","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","441330","0.0-67.0","6929","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 20:57:29 GMT-0400 (북미 동부 하계 표준시)","27390","0","9","","","","","","","","","",""
"","","","","","","","","","","","preload","68","441331","0.0-68.0","","","","","true","","","","","","","","","","","preload","","","1","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","69","441634","0.0-69.0","null","null","","","","","","","","","","","","","","fixation","","","1","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","70","441936","0.0-70.0","null","null","","","","","","","","","","","","","","stimulus","","","1","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","71","443579","0.0-71.0","1641","car","","","","","","","","","","","","","","perceptual","","","1","0","","","","","47","bridge","10","","0",""
"","","","","","","","","","","","canvas-button-response","72","444897","0.0-72.0","1316","4","","","","","","","","","","","","","","confidence","","","1","0","","","","","","","","","","0"
"","","","","","","","","","","","html-keyboard-response","73","445900","0.0-73.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:40 GMT-0400 (북미 동부 하계 표준시)","27390","1","0","","","","","","","","","",""
"","","","","","","","","","","","preload","74","445901","0.0-74.0","","","","","true","","","","","","","","","","","preload","","","1","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","75","446203","0.0-75.0","null","null","","","","","","","","","","","","","","fixation","","","1","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","76","446507","0.0-76.0","null","null","","","","","","","","","","","","","","stimulus","","","1","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","77","448845","0.0-77.0","2336","elephant","","","","","","","","","","","","","","perceptual","","","1","1","","","","","84","elephant","6","","1",""
"","","","","","","","","","","","canvas-button-response","78","450379","0.0-78.0","1532","10","","","","","","","","","","","","","","confidence","","","1","1","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","79","451383","0.0-79.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:45 GMT-0400 (북미 동부 하계 표준시)","27390","1","1","","","","","","","","","",""
"","","","","","","","","","","","preload","80","451384","0.0-80.0","","","","","true","","","","","","","","","","","preload","","","1","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","81","451686","0.0-81.0","null","null","","","","","","","","","","","","","","fixation","","","1","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","82","451989","0.0-82.0","null","null","","","","","","","","","","","","","","stimulus","","","1","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","83","453547","0.0-83.0","1555","bed","","","","","","","","","","","","","","perceptual","","","1","2","","","","","34","bed","6","","1",""
"","","","","","","","","","","","canvas-button-response","84","454546","0.0-84.0","997","10","","","","","","","","","","","","","","confidence","","","1","2","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","85","455550","0.0-85.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:49 GMT-0400 (북미 동부 하계 표준시)","27390","1","2","","","","","","","","","",""
"","","","","","","","","","","","preload","86","455551","0.0-86.0","","","","","true","","","","","","","","","","","preload","","","1","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","87","455854","0.0-87.0","null","null","","","","","","","","","","","","","","fixation","","","1","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","88","456157","0.0-88.0","null","null","","","","","","","","","","","","","","stimulus","","","1","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","89","458079","0.0-89.0","1920","car","","","","","","","","","","","","","","perceptual","","","1","3","","","","","14","car","6","","1",""
"","","","","","","","","","","","canvas-button-response","90","460295","0.0-90.0","2214","4","","","","","","","","","","","","","","confidence","","","1","3","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","91","461299","0.0-91.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:55 GMT-0400 (북미 동부 하계 표준시)","27390","1","3","","","","","","","","","",""
"","","","","","","","","","","","preload","92","461300","0.0-92.0","","","","","true","","","","","","","","","","","preload","","","1","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","93","461602","0.0-93.0","null","null","","","","","","","","","","","","","","fixation","","","1","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","94","461905","0.0-94.0","null","null","","","","","","","","","","","","","","stimulus","","","1","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","95","462730","0.0-95.0","822","knife","","","","","","","","","","","","","","perceptual","","","1","4","","","","","97","knife","10","","1",""
"","","","","","","","","","","","canvas-button-response","96","463447","0.0-96.0","715","10","","","","","","","","","","","","","","confidence","","","1","4","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","97","464449","0.0-97.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:57:58 GMT-0400 (북미 동부 하계 표준시)","27390","1","4","","","","","","","","","",""
"","","","","","","","","","","","preload","98","464450","0.0-98.0","","","","","true","","","","","","","","","","","preload","","","1","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","99","464753","0.0-99.0","null","null","","","","","","","","","","","","","","fixation","","","1","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","100","465056","0.0-100.0","null","null","","","","","","","","","","","","","","stimulus","","","1","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","101","472112","0.0-101.0","7054","knife","","","","","","","","","","","","","","perceptual","","","1","5","","","","","77","cat","10","","0",""
"","","","","","","","","","","","canvas-button-response","102","473913","0.0-102.0","1799","1","","","","","","","","","","","","","","confidence","","","1","5","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","103","474915","0.0-103.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:58:09 GMT-0400 (북미 동부 하계 표준시)","27390","1","5","","","","","","","","","",""
"","","","","","","","","","","","preload","104","474916","0.0-104.0","","","","","true","","","","","","","","","","","preload","","","1","6","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","105","475218","0.0-105.0","null","null","","","","","","","","","","","","","","fixation","","","1","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","106","475521","0.0-106.0","null","null","","","","","","","","","","","","","","stimulus","","","1","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","107","476962","0.0-107.0","1438","car","","","","","","","","","","","","","","perceptual","","","1","6","","","","","67","train","10","","0",""
"","","","","","","","","","","","canvas-button-response","108","479412","0.0-108.0","2449","2","","","","","","","","","","","","","","confidence","","","1","6","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","109","480414","0.0-109.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:58:14 GMT-0400 (북미 동부 하계 표준시)","27390","1","6","","","","","","","","","",""
"","","","","","","","","","","","preload","110","480415","0.0-110.0","","","","","true","","","","","","","","","","","preload","","","1","7","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","111","480718","0.0-111.0","null","null","","","","","","","","","","","","","","fixation","","","1","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","112","481020","0.0-112.0","null","null","","","","","","","","","","","","","","stimulus","","","1","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","113","485863","0.0-113.0","4840","elephant","","","","","","","","","","","","","","perceptual","","","1","7","","","","","87","elephant","10","","1",""
"","","","","","","","","","","","canvas-button-response","114","487079","0.0-114.0","1214","4","","","","","","","","","","","","","","confidence","","","1","7","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","115","488082","0.0-115.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 20:58:22 GMT-0400 (북미 동부 하계 표준시)","27390","1","7","","","","","","","","","",""
