"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1470","832","true","chrome","139.0.0","false","Mac OS","true","60.01","true","true","browser-check","0","1011","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","36577","0.0-1.0","35525","{""P0_Q0"":""903856065"",""P0_Q1"":""20"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","112573","0.0-2.0","75992","","","[{""page_index"":0,""viewing_time"":4391},{""page_index"":1,""viewing_time"":52102},{""page_index"":2,""viewing_time"":11092},{""page_index"":3,""viewing_time"":8407}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","114780","0.0-3.0","1203","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","258153","0.0-4.0","143368","","","","","85.6","53.98","258.6889881682527","3.0220119124724456","567.7","8.622966272275091","30","1.6776902761617516","49","30.666666666666668","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","331669","0.0-5.0","73514","","","[{""page_index"":0,""viewing_time"":8990},{""page_index"":1,""viewing_time"":6317},{""page_index"":2,""viewing_time"":7751},{""page_index"":3,""viewing_time"":6676},{""page_index"":4,""viewing_time"":4805},{""page_index"":5,""viewing_time"":35420},{""page_index"":6,""viewing_time"":3554}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","342366","0.0-6.0","10691","0","","","","","","","","","","","","","","start_practice","Mon Oct 13 2025 13:27:47 GMT-0400 (Eastern Daylight Time)","23985","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","342366","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","342672","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","342977","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","345252","0.0-10.0","2270","bed","","","","","","","","","","","","","","perceptual","","","0","0","","","","","32","bed","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","347086","0.0-11.0","1832","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","348088","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Mon Oct 13 2025 13:28:02 GMT-0400 (Eastern Daylight Time)","23985","0","0","","","","","","","","","",""
