"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1426","728","true","chrome","141.0.0","false","Mac OS","true","60.57","true","true","browser-check","0","995","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","16637","0.0-1.0","15604","{""P0_Q0"":""904015510"",""P0_Q1"":""19"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","32398","0.0-2.0","15761","","","[{""page_index"":0,""viewing_time"":1297},{""page_index"":1,""viewing_time"":206},{""page_index"":2,""viewing_time"":683},{""page_index"":1,""viewing_time"":3651},{""page_index"":2,""viewing_time"":1917},{""page_index"":3,""viewing_time"":8006}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","36424","0.0-3.0","3022","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","75594","0.0-4.0","39168","","","","","85.6","53.98","269.81992626520974","3.149961983233756","544.19","8.993997542173659","30","1.6158925177803567","49","30.633333333333333","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","158043","0.0-5.0","82449","","","[{""page_index"":0,""viewing_time"":11146},{""page_index"":1,""viewing_time"":5498},{""page_index"":2,""viewing_time"":19708},{""page_index"":3,""viewing_time"":4821},{""page_index"":4,""viewing_time"":12897},{""page_index"":5,""viewing_time"":19509},{""page_index"":6,""viewing_time"":8869}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","162419","0.0-6.0","4370","0","","","","","","","","","","","","","","start_practice","Thu Oct 09 2025 17:04:54 GMT-0400 (Eastern Daylight Time)","27707","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","162420","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","162725","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","163027","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","164435","0.0-10.0","1405","house","","","","","","","","","","","","","","perceptual","","","0","0","","","","","2","house","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","166085","0.0-11.0","1648","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","167089","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 09 2025 17:05:02 GMT-0400 (Eastern Daylight Time)","27707","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","167090","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","167393","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","167696","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","168918","0.0-16.0","1220","knife","","","","","","","","","","","","","","perceptual","","","0","1","","","","","92","knife","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","169668","0.0-17.0","748","6","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","170671","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 09 2025 17:05:05 GMT-0400 (Eastern Daylight Time)","27707","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","170672","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","170975","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","171278","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","172468","0.0-22.0","1188","bed","","","","","","","","","","","","","","perceptual","","","0","2","","","","","32","bed","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","173568","0.0-23.0","1098","7","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","24","174571","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 09 2025 17:05:09 GMT-0400 (Eastern Daylight Time)","27707","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","174572","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","174875","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","175178","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","178535","0.0-28.0","3355","flower","","","","","","","","","","","","","","perceptual","","","0","3","","","","","52","flower","1","","1",""
