"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1920","958","true","chrome","141.0.0","false","Mac OS","true","76.08","true","true","browser-check","0","58514","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","84827","0.0-1.0","26261","{""P0_Q0"":""903614402"",""P0_Q1"":""24"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Left-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","102845","0.0-2.0","18017","","","[{""page_index"":0,""viewing_time"":6188},{""page_index"":1,""viewing_time"":8003},{""page_index"":2,""viewing_time"":3801},{""page_index"":3,""viewing_time"":26}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","105690","0.0-3.0","1841","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","156001","0.0-4.0","50308","","","","","85.6","53.98","173.7914598263607","2.0298842507718926","845.9","5.79304866087869","30","1.4385056679412276","64","36","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","251472","0.0-5.0","95472","","","[{""page_index"":0,""viewing_time"":4075},{""page_index"":1,""viewing_time"":1189},{""page_index"":0,""viewing_time"":11008},{""page_index"":1,""viewing_time"":8377},{""page_index"":2,""viewing_time"":1070},{""page_index"":1,""viewing_time"":1922},{""page_index"":2,""viewing_time"":18798},{""page_index"":3,""viewing_time"":1081},{""page_index"":2,""viewing_time"":3347},{""page_index"":3,""viewing_time"":4533},{""page_index"":4,""viewing_time"":1009},{""page_index"":3,""viewing_time"":925},{""page_index"":4,""viewing_time"":11912},{""page_index"":5,""viewing_time"":1442},{""page_index"":4,""viewing_time"":1012},{""page_index"":5,""viewing_time"":19173},{""page_index"":6,""viewing_time"":4600}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","280338","0.0-6.0","28862","0","","","","","","","","","","","","","","start_practice","Sat Oct 18 2025 21:00:11 GMT-0400 (Eastern Daylight Time)","27704","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","280340","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","280645","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","280948","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","281976","0.0-10.0","1023","car","","","","","","","","","","","","","","perceptual","","","0","0","","","","","12","car","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","283431","0.0-11.0","1452","9","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","284435","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 21:00:43 GMT-0400 (Eastern Daylight Time)","27704","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","284437","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","284738","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","285041","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","286431","0.0-16.0","1386","bridge","","","","","","","","","","","","","","perceptual","","","0","1","","","","","42","bridge","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","287565","0.0-17.0","1131","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","288569","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 21:00:47 GMT-0400 (Eastern Daylight Time)","27704","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","288570","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","288872","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","289176","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","290006","0.0-22.0","826","cat","","","","","","","","","","","","","","perceptual","","","0","2","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","290926","0.0-23.0","917","10","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","24","291928","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 21:00:50 GMT-0400 (Eastern Daylight Time)","27704","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","291930","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","292232","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","292535","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","294300","0.0-28.0","1762","bed","","","","","","","","","","","","","","perceptual","","","0","3","","","","","32","bed","1","","1",""
"","","","","","","","","","","","canvas-button-response","29","295035","0.0-29.0","732","10","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","30","296037","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 21:00:54 GMT-0400 (Eastern Daylight Time)","27704","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","296039","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","296341","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","296644","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","34","299716","0.0-34.0","3069","house","","","","","","","","","","","","","","perceptual","","","0","4","","","","","52","flower","1","","0",""
"","","","","","","","","","","","canvas-button-response","35","300770","0.0-35.0","1051","10","","","","","","","","","","","","","","confidence","","","0","4","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","36","301772","0.0-36.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 21:01:00 GMT-0400 (Eastern Daylight Time)","27704","0","4","","","","","","","","","",""
"","","","","","","","","","","","preload","37","301773","0.0-37.0","","","","","true","","","","","","","","","","","preload","","","0","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","38","302077","0.0-38.0","null","null","","","","","","","","","","","","","","fixation","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","39","302380","0.0-39.0","null","null","","","","","","","","","","","","","","stimulus","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","40","310839","0.0-40.0","8456","train","","","","","","","","","","","","","","perceptual","","","0","5","","","","","82","elephant","1","","0",""
"","","","","","","","","","","","canvas-button-response","41","310879","0.0-41.0","38","9","","","","","","","","","","","","","","confidence","","","0","5","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","42","311882","0.0-42.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 21:01:10 GMT-0400 (Eastern Daylight Time)","27704","0","5","","","","","","","","","",""
"","","","","","","","","","","","preload","43","311884","0.0-43.0","","","","","true","","","","","","","","","","","preload","","","0","6","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","44","312186","0.0-44.0","null","null","","","","","","","","","","","","","","fixation","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","45","312490","0.0-45.0","null","null","","","","","","","","","","","","","","stimulus","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","46","319776","0.0-46.0","7283","knife","","","","","","","","","","","","","","perceptual","","","0","6","","","","","92","knife","1","","1",""
