"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"714","798","true","chrome","139.0.0","false","Mac OS","true","120.85","true","true","browser-check","0","500","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","23051","0.0-1.0","22528","{""P0_Q0"":""903875823"",""P0_Q1"":""20"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Normal"",""P1_Q4"":""Left-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","38957","0.0-2.0","15905","","","[{""page_index"":0,""viewing_time"":3551},{""page_index"":1,""viewing_time"":6349},{""page_index"":2,""viewing_time"":3631},{""page_index"":3,""viewing_time"":2374}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","44236","0.0-3.0","4277","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","104513","0.0-4.0","60274","","","","","85.6","53.98","149.34893134774433","1.7440101015446272","984.56","4.978297711591478","29.999999999999996","2.0756760507257694","23.800000000000004","26.6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","142221","0.0-5.0","37707","","","[{""page_index"":0,""viewing_time"":9644},{""page_index"":1,""viewing_time"":2872},{""page_index"":2,""viewing_time"":7092},{""page_index"":3,""viewing_time"":3837},{""page_index"":4,""viewing_time"":4673},{""page_index"":5,""viewing_time"":6849},{""page_index"":6,""viewing_time"":2741}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","145028","0.0-6.0","2805","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 15:41:41 GMT-0400 (Eastern Daylight Time)","25781","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","145029","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","145331","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","145633","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","147884","0.0-10.0","2249","house","","","","","","","","","","","","","","perceptual","","","0","0","","","","","2","house","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","149544","0.0-11.0","1659","5","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
