"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1382","732","true","firefox","144.0.0","false","Windows 10","true","60.91","true","true","browser-check","0","1002","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","46217","0.0-1.0","45155","{""P0_Q0"":""903974721"",""P0_Q1"":""19"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","77307","0.0-2.0","31086","","","[{""page_index"":0,""viewing_time"":5784},{""page_index"":1,""viewing_time"":5561},{""page_index"":2,""viewing_time"":16644},{""page_index"":3,""viewing_time"":3097}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","80540","0.0-3.0","2213","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","205995","0.0-4.0","125453","","","","","85.6","53.98","232.2566624411366","2.7154043027242674","632.54","7.741888748037886","30","1.450980981376195","46.06666666666667","28.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","333866","0.0-5.0","127867","","","[{""page_index"":0,""viewing_time"":52153},{""page_index"":1,""viewing_time"":3960},{""page_index"":2,""viewing_time"":8958},{""page_index"":3,""viewing_time"":4083},{""page_index"":4,""viewing_time"":9048},{""page_index"":5,""viewing_time"":47828},{""page_index"":6,""viewing_time"":1837}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","339391","0.0-6.0","5521","0","","","","","","","","","","","","","","start_practice","Tue Oct 14 2025 21:22:17 GMT-0400 (Eastern Daylight Time)","25082","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","339395","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","339706","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","340017","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","340951","0.0-10.0","930","cat","","","","","","","","","","","","","","perceptual","","","0","0","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","342267","0.0-11.0","1311","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","343276","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 21:22:26 GMT-0400 (Eastern Daylight Time)","25082","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","343277","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","343602","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","343928","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","347190","0.0-16.0","3261","knife","","","","","","","","","","","","","","perceptual","","","0","1","","","","","92","knife","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","348326","0.0-17.0","1131","7","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","349340","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 21:22:32 GMT-0400 (Eastern Daylight Time)","25082","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","349340","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","349668","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","349977","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","354148","0.0-22.0","4169","flower","","","","","","","","","","","","","","perceptual","","","0","2","","","","","52","flower","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","355398","0.0-23.0","1245","5","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","24","356405","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 14 2025 21:22:39 GMT-0400 (Eastern Daylight Time)","25082","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","356406","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","356731","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
