"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1920","917","true","chrome","141.0.0","false","Windows 10","true","145.88","true","true","browser-check","0","3077","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","33422","0.0-1.0","30315","{""P0_Q0"":""903571203"",""P0_Q1"":""23"",""P1_Q0"":""Male"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""White"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","36459","0.0-2.0","3036","","","[{""page_index"":0,""viewing_time"":977},{""page_index"":1,""viewing_time"":1265},{""page_index"":2,""viewing_time"":420},{""page_index"":3,""viewing_time"":374}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","38085","0.0-3.0","624","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","47838","0.0-4.0","9752","","","","","85.6","53.98","243.71822593220756","2.8460516515109764","602.7","8.123940864406919","30","1.2473420846439296","64","36","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","52344","0.0-5.0","4506","","","[{""page_index"":0,""viewing_time"":1528},{""page_index"":1,""viewing_time"":895},{""page_index"":2,""viewing_time"":302},{""page_index"":3,""viewing_time"":216},{""page_index"":4,""viewing_time"":491},{""page_index"":5,""viewing_time"":496},{""page_index"":6,""viewing_time"":578}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","52938","0.0-6.0","593","0","","","","","","","","","","","","","","start_practice","Sat Oct 18 2025 14:50:23 GMT-0400 (Eastern Daylight Time)","27376","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","52939","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","53255","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","53567","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","54579","0.0-10.0","1011","flower","","","","","","","","","","","","","","perceptual","","","0","0","","","","","52","flower","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","54966","0.0-11.0","386","9","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","55972","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 14:50:26 GMT-0400 (Eastern Daylight Time)","27376","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","55972","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","56277","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
