"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1728","992","true","chrome","140.0.0","false","Mac OS","true","120.51","true","true","browser-check","0","502","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","2361375","0.0-1.0","290223","{""P0_Q0"":""904109233"",""P0_Q1"":""18"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Asian"",""P1_Q3"":""Corrected-to-Normal (using glasses/contacts)"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","2405257","0.0-2.0","43882","","","[{""page_index"":0,""viewing_time"":6707},{""page_index"":1,""viewing_time"":8017},{""page_index"":2,""viewing_time"":24375},{""page_index"":3,""viewing_time"":4784}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","2408063","0.0-3.0","1802","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","2467482","0.0-4.0","59417","","","","","85.6","53.98","373.1094264523883","4.356006604394878","392.8","12.436980881746276","30","1.0881526201584961","57.6","36","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2502639","0.0-5.0","35156","","","[{""page_index"":0,""viewing_time"":3418},{""page_index"":1,""viewing_time"":4788},{""page_index"":2,""viewing_time"":8421},{""page_index"":3,""viewing_time"":4992},{""page_index"":4,""viewing_time"":3425},{""page_index"":5,""viewing_time"":8659},{""page_index"":6,""viewing_time"":1454}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2504673","0.0-6.0","2031","0","","","","","","","","","","","","","","start_practice","Sat Oct 18 2025 17:31:59 GMT-0400 (Eastern Daylight Time)","26977","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","2504675","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","2504978","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","2505282","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","2509914","0.0-10.0","4628","house","","","","","","","","","","","","","","perceptual","","","0","0","","","","","52","flower","1","","0",""
"","","","","","","","","","","","canvas-button-response","11","2512677","0.0-11.0","2760","7","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","0"
"","","","","","","","","","","","html-keyboard-response","12","2513681","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 17:32:09 GMT-0400 (Eastern Daylight Time)","26977","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","2513682","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","2513984","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","2514286","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","2515835","0.0-16.0","1547","cat","","","","","","","","","","","","","","perceptual","","","0","1","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","2516651","0.0-17.0","814","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","18","2517653","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 17:32:13 GMT-0400 (Eastern Daylight Time)","26977","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","2517654","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","2517957","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","2518260","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","2520610","0.0-22.0","2348","train","","","","","","","","","","","","","","perceptual","","","0","2","","","","","62","train","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","2521289","0.0-23.0","676","10","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","24","2522292","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 17:32:17 GMT-0400 (Eastern Daylight Time)","26977","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","2522292","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","2522596","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","2522898","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","2523893","0.0-28.0","993","car","","","","","","","","","","","","","","perceptual","","","0","3","","","","","12","car","1","","1",""
"","","","","","","","","","","","canvas-button-response","29","2525377","0.0-29.0","1482","10","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","30","2526380","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 17:32:21 GMT-0400 (Eastern Daylight Time)","26977","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","2526381","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","2526683","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","2526987","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","34","2532839","0.0-34.0","5850","bed","","","","","","","","","","","","","","perceptual","","","0","4","","","","","42","bridge","1","","0",""
"","","","","","","","","","","","canvas-button-response","35","2533680","0.0-35.0","839","0","","","","","","","","","","","","","","confidence","","","0","4","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","36","2534682","0.0-36.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 17:32:30 GMT-0400 (Eastern Daylight Time)","26977","0","4","","","","","","","","","",""
"","","","","","","","","","","","preload","37","2534683","0.0-37.0","","","","","true","","","","","","","","","","","preload","","","0","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","38","2534986","0.0-38.0","null","null","","","","","","","","","","","","","","fixation","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","39","2535288","0.0-39.0","null","null","","","","","","","","","","","","","","stimulus","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","40","2537780","0.0-40.0","2489","phone","","","","","","","","","","","","","","perceptual","","","0","5","","","","","22","phone","1","","1",""
"","","","","","","","","","","","canvas-button-response","41","2538997","0.0-41.0","1215","10","","","","","","","","","","","","","","confidence","","","0","5","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","42","2539999","0.0-42.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 17:32:35 GMT-0400 (Eastern Daylight Time)","26977","0","5","","","","","","","","","",""
"","","","","","","","","","","","preload","43","2540000","0.0-43.0","","","","","true","","","","","","","","","","","preload","","","0","6","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","44","2540302","0.0-44.0","null","null","","","","","","","","","","","","","","fixation","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","45","2540605","0.0-45.0","null","null","","","","","","","","","","","","","","stimulus","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","46","2547909","0.0-46.0","7302","house","","","","","","","","","","","","","","perceptual","","","0","6","","","","","82","elephant","1","","0",""
"","","","","","","","","","","","canvas-button-response","47","2549409","0.0-47.0","1499","6","","","","","","","","","","","","","","confidence","","","0","6","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","48","2550412","0.0-48.0","null","null","","","","","","","","","","","","","","feedback","Sat Oct 18 2025 17:32:45 GMT-0400 (Eastern Daylight Time)","26977","0","6","","","","","","","","","",""
"","","","","","","","","","","","preload","49","2550412","0.0-49.0","","","","","true","","","","","","","","","","","preload","","","0","7","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","50","2550714","0.0-50.0","null","null","","","","","","","","","","","","","","fixation","","","0","7","","","","","","","","","",""
