"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1470","797","true","chrome","141.0.0","false","Mac OS","true","60","true","true","browser-check","0","1010","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","75751","0.0-1.0","74712","{""P0_Q0"":""904095822"",""P0_Q1"":""18"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Black or African American"",""P1_Q3"":""Normal"",""P1_Q4"":""Left-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","134987","0.0-2.0","59236","","","[{""page_index"":0,""viewing_time"":4652},{""page_index"":1,""viewing_time"":28917},{""page_index"":2,""viewing_time"":16517},{""page_index"":3,""viewing_time"":9150}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","137140","0.0-3.0","1149","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","214420","0.0-4.0","77278","","","","","85.6","53.98","242.2400728758037","2.831820570238269","606.39","8.074669095860123","30","1.7585859967042277","49","30.633333333333333","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","282003","0.0-5.0","67582","","","[{""page_index"":0,""viewing_time"":10664},{""page_index"":1,""viewing_time"":11501},{""page_index"":2,""viewing_time"":7666},{""page_index"":3,""viewing_time"":7751},{""page_index"":4,""viewing_time"":14267},{""page_index"":5,""viewing_time"":11400},{""page_index"":6,""viewing_time"":4333}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","291137","0.0-6.0","9131","0","","","","","","","","","","","","","","start_practice","Thu Oct 16 2025 14:41:15 GMT-0400 (Eastern Daylight Time)","27355","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","291139","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","291443","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","291746","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","292902","0.0-10.0","1153","cat","","","","","","","","","","","","","","perceptual","","","0","0","","","","","72","cat","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","295253","0.0-11.0","2349","10","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","296256","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 16 2025 14:41:28 GMT-0400 (Eastern Daylight Time)","27355","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","296257","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","296559","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","296861","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","301120","0.0-16.0","4258","flower","","","","","","","","","","","","","","perceptual","","","0","1","","","","","52","flower","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","302852","0.0-17.0","1730","8","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","303855","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 16 2025 14:41:36 GMT-0400 (Eastern Daylight Time)","27355","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","303856","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","304158","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","304461","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","305553","0.0-22.0","1090","car","","","","","","","","","","","","","","perceptual","","","0","2","","","","","12","car","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","306653","0.0-23.0","1098","10","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","24","307655","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 16 2025 14:41:40 GMT-0400 (Eastern Daylight Time)","27355","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","307655","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","307958","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","308259","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","310671","0.0-28.0","2409","phone","","","","","","","","","","","","","","perceptual","","","0","3","","","","","22","phone","1","","1",""
"","","","","","","","","","","","canvas-button-response","29","311521","0.0-29.0","847","10","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","30","312524","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 16 2025 14:41:45 GMT-0400 (Eastern Daylight Time)","27355","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","312525","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","312827","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","313129","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","34","316890","0.0-34.0","3757","knife","","","","","","","","","","","","","","perceptual","","","0","4","","","","","92","knife","1","","1",""
"","","","","","","","","","","","canvas-button-response","35","317940","0.0-35.0","1047","9","","","","","","","","","","","","","","confidence","","","0","4","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","36","318943","0.0-36.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 16 2025 14:41:51 GMT-0400 (Eastern Daylight Time)","27355","0","4","","","","","","","","","",""
"","","","","","","","","","","","preload","37","318944","0.0-37.0","","","","","true","","","","","","","","","","","preload","","","0","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","38","319245","0.0-38.0","null","null","","","","","","","","","","","","","","fixation","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","39","319549","0.0-39.0","null","null","","","","","","","","","","","","","","stimulus","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","40","320508","0.0-40.0","957","bridge","","","","","","","","","","","","","","perceptual","","","0","5","","","","","42","bridge","1","","1",""
"","","","","","","","","","","","canvas-button-response","41","321542","0.0-41.0","1032","10","","","","","","","","","","","","","","confidence","","","0","5","","","","","","","","","","6"
"","","","","","","","","","","","html-keyboard-response","42","322544","0.0-42.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 16 2025 14:41:55 GMT-0400 (Eastern Daylight Time)","27355","0","5","","","","","","","","","",""
"","","","","","","","","","","","preload","43","322545","0.0-43.0","","","","","true","","","","","","","","","","","preload","","","0","6","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","44","322847","0.0-44.0","null","null","","","","","","","","","","","","","","fixation","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","45","323149","0.0-45.0","null","null","","","","","","","","","","","","","","stimulus","","","0","6","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","46","329060","0.0-46.0","5908","house","","","","","","","","","","","","","","perceptual","","","0","6","","","","","82","elephant","1","","0",""
"","","","","","","","","","","","canvas-button-response","47","330061","0.0-47.0","998","5","","","","","","","","","","","","","","confidence","","","0","6","","","","","","","","","","6"
"","","","","","","","","","","","html-keyboard-response","48","331064","0.0-48.0","null","null","","","","","","","","","","","","","","feedback","Thu Oct 16 2025 14:42:03 GMT-0400 (Eastern Daylight Time)","27355","0","6","","","","","","","","","",""
"","","","","","","","","","","","preload","49","331065","0.0-49.0","","","","","true","","","","","","","","","","","preload","","","0","7","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","50","331367","0.0-50.0","null","null","","","","","","","","","","","","","","fixation","","","0","7","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","51","331670","0.0-51.0","null","null","","","","","","","","","","","","","","stimulus","","","0","7","","","","","","","","","",""
